sample label	d1	d2
monkeyc7sp1s3001	26,9777	14
monkeyc7sp1s3002	27,04487	14,268445
monkeyc7sp1s3003	24,75302	16,38221
monkeyc7sp1s3004	24,705158	16,37764
monkeyc7sp1s3005	24,657211	16,37211
monkeyc7sp1s3006	24,6092	16,36561
monkeyc7sp1s3007	24,561143	16,35814
monkeyc7sp1s3008	24,513061	16,3497
monkeyc7sp1s3009	24,46497	16,34027
monkeyc7sp1s3010	24,4169	16,32987
monkeyc7sp1s3011	24,36886	16,31848
monkeyc7sp1s3012	24,32087	16,30611
monkeyc7sp1s3013	27,04936	14,29981
monkeyc7sp1s3014	24,27296	16,29275
monkeyc7sp1s3015	24,22514	16,2784
monkeyc7sp1s3016	24,17744	16,26305
monkeyc7sp1s3017	24,12987	16,24672
monkeyc7sp1s3018	24,08246	16,22939
monkeyc7sp1s3019	24,03522	16,21107
monkeyc7sp1s3020	23,98818	16,19176
monkeyc7sp1s3021	23,94136	16,17146
monkeyc7sp1s3022	23,89477	16,15017
monkeyc7sp1s3023	23,84845	16,12789
monkeyc7sp1s3024	27,05322	14,331439
monkeyc7sp1s3025	23,8024	16,10463
monkeyc7sp1s3026	23,75666	16,08039
monkeyc7sp1s3027	23,71123	16,05516
monkeyc7sp1s3028	23,66615	16,02896
monkeyc7sp1s3029	23,62143	16,00179
monkeyc7sp1s3030	23,57709	15,97365
monkeyc7sp1s3031	23,53316	15,94454
monkeyc7sp1s3032	23,48965	15,91448
monkeyc7sp1s3033	23,44658	15,88347
monkeyc7sp1s3034	23,40398	15,85151
monkeyc7sp1s3035	27,05643	14,363319
monkeyc7sp1s3036	23,36187	15,81862
monkeyc7sp1s3037	23,32026	15,78479
monkeyc7sp1s3038	23,27918	15,75003
monkeyc7sp1s3039	23,23865	15,71436
monkeyc7sp1s3040	23,19868	15,67778
monkeyc7sp1s3041	23,1593	15,64031
monkeyc7sp1s3042	23,12052	15,60194
monkeyc7sp1s3043	23,08237	15,56269
monkeyc7sp1s3044	23,04486	15,52257
monkeyc7sp1s3045	23,00802	15,48159
monkeyc7sp1s3046	27,05901	14,395437
monkeyc7sp1s3047	22,97187	15,43975
monkeyc7sp1s3048	22,93641	15,39709
monkeyc7sp1s3049	22,90168	15,35359
monkeyc7sp1s3050	22,86768	15,30928
monkeyc7sp1s3051	22,83445	15,26417
monkeyc7sp1s3052	22,80199	15,21826
monkeyc7sp1s3053	22,77032	15,17159
monkeyc7sp1s3054	22,73947	15,12415
monkeyc7sp1s3055	22,70945	15,07596
monkeyc7sp1s3056	22,68027	15,02704
monkeyc7sp1s3057	27,06093	14,42778
monkeyc7sp1s3058	22,65196	14,977395
monkeyc7sp1s3059	22,62453	14,927051
monkeyc7sp1s3060	22,598	14,876019
monkeyc7sp1s3061	22,57238	14,824315
monkeyc7sp1s3062	22,54769	14,771955
monkeyc7sp1s3063	22,52394	14,718957
monkeyc7sp1s3064	22,50115	14,665337
monkeyc7sp1s3065	22,47934	14,611113
monkeyc7sp1s3066	22,45852	14,556302
monkeyc7sp1s3067	22,43871	14,500922
monkeyc7sp1s3068	27,06218	14,460335
monkeyc7sp1s3069	22,41991	14,444993
monkeyc7sp1s3070	22,40214	14,388533
monkeyc7sp1s3071	22,38542	14,331561
monkeyc7sp1s3072	22,36976	14,274096
monkeyc7sp1s3073	22,35517	14,216158
monkeyc7sp1s3074	22,34167	14,157767
monkeyc7sp1s3075	22,32925	14,0989439
monkeyc7sp1s3076	22,31795	14,0397087
monkeyc7sp1s3077	22,30776	13,9800824
monkeyc7sp1s3078	22,2987	13,9200863
monkeyc7sp1s3079	27,06278	14,493089
monkeyc7sp1s3080	22,29078	13,859742
monkeyc7sp1s3081	22,28401	13,79907
monkeyc7sp1s3082	22,2784	13,738094
monkeyc7sp1s3083	22,27396	13,676835
monkeyc7sp1s3084	22,27069	13,615316
monkeyc7sp1s3085	22,2686	13,553559
monkeyc7sp1s3086	22,26771	13,491588
monkeyc7sp1s3087	22,26802	13,429425
monkeyc7sp1s3088	22,26953	13,367093
monkeyc7sp1s3089	22,27226	13,304617
monkeyc7sp1s3090	27,06269	14,526028
monkeyc7sp1s3091	22,27621	13,242019
monkeyc7sp1s3092	22,28138	13,179323
monkeyc7sp1s3093	22,28777	13,116554
monkeyc7sp1s3094	22,29541	13,053736
monkeyc7sp1s3095	22,30428	12,99089
monkeyc7sp1s3096	22,31439	12,92805
monkeyc7sp1s3097	22,32575	12,86523
monkeyc7sp1s3098	22,33835	12,80246
monkeyc7sp1s3099	22,35221	12,73976
monkeyc7sp1s3100	22,36732	12,67716
monkeyc7sp1s3101	27,06192	14,559137
monkeyc7sp1s3102	22,38368	12,61468
monkeyc7sp1s3103	22,40129	12,55235
monkeyc7sp1s3104	22,42015	12,49019
monkeyc7sp1s3105	22,44027	12,42824
monkeyc7sp1s3106	22,46165	12,3665
monkeyc7sp1s3107	22,48427	12,30502
monkeyc7sp1s3108	22,50814	12,24381
monkeyc7sp1s3109	22,53326	12,1829
monkeyc7sp1s3110	22,55962	12,12231
monkeyc7sp1s3111	22,58723	12,06207
monkeyc7sp1s3112	26,98743	14,0284611
monkeyc7sp1s3113	27,06047	14,592403
monkeyc7sp1s3114	22,61607	12,00221
monkeyc7sp1s3115	22,64614	11,94275
monkeyc7sp1s3116	22,67744	11,88372
monkeyc7sp1s3117	22,70996	11,82513
monkeyc7sp1s3118	22,7437	11,76703
monkeyc7sp1s3119	22,77865	11,70942
monkeyc7sp1s3120	22,81481	11,65234
monkeyc7sp1s3121	22,85215	11,59582
monkeyc7sp1s3122	22,89069	11,53986
monkeyc7sp1s3123	22,9304	11,48451
monkeyc7sp1s3124	27,05832	14,625812
monkeyc7sp1s3125	22,97129	11,42979
monkeyc7sp1s3126	23,01333	11,37571
monkeyc7sp1s3127	23,05652	11,32231
monkeyc7sp1s3128	23,10086	11,26961
monkeyc7sp1s3129	23,14632	11,21763
monkeyc7sp1s3130	23,1929	11,1664
monkeyc7sp1s3131	23,24059	11,11593
monkeyc7sp1s3132	23,28937	11,06626
monkeyc7sp1s3133	23,33923	11,01741
monkeyc7sp1s3134	23,39015	10,9694
monkeyc7sp1s3135	27,05547	14,659349
monkeyc7sp1s3136	23,44213	10,92225
monkeyc7sp1s3137	23,49514	10,87599
monkeyc7sp1s3138	23,54918	10,83063
monkeyc7sp1s3139	23,60422	10,7862
monkeyc7sp1s3140	23,66026	10,74273
monkeyc7sp1s3141	23,71727	10,70023
monkeyc7sp1s3142	23,77524	10,65873
monkeyc7sp1s3143	23,83414	10,61824
monkeyc7sp1s3144	23,89398	10,57878
monkeyc7sp1s3145	23,95471	10,54039
monkeyc7sp1s3146	27,05191	14,692999
monkeyc7sp1s3147	24,01634	10,50307
monkeyc7sp1s3148	24,07883	10,46685
monkeyc7sp1s3149	24,14216	10,43174
monkeyc7sp1s3150	24,20633	10,39778
monkeyc7sp1s3151	24,2713	10,36496
monkeyc7sp1s3152	24,33706	10,33332
monkeyc7sp1s3153	24,40358	10,30287
monkeyc7sp1s3154	24,47085	10,27363
monkeyc7sp1s3155	24,538841	10,24561
monkeyc7sp1s3156	24,607529	10,21884
monkeyc7sp1s3157	27,04765	14,726748
monkeyc7sp1s3158	24,676894	10,19332
monkeyc7sp1s3159	24,746913	10,16908
monkeyc7sp1s3160	24,817561	10,14613
monkeyc7sp1s3161	24,888816	10,12449
monkeyc7sp1s3162	24,960652	10,10416
monkeyc7sp1s3163	25,033046	10,08517
monkeyc7sp1s3164	25,105972	10,06753
monkeyc7sp1s3165	25,179406	10,05125
monkeyc7sp1s3166	25,253321	10,03635
monkeyc7sp1s3167	25,327693	10,02283
monkeyc7sp1s3168	27,04267	14,760581
monkeyc7sp1s3169	25,4024947	10,01071
monkeyc7sp1s3170	25,4777	10
monkeyc7sp1s3171	25,5532822	9,99071
monkeyc7sp1s3172	25,629215	9,98286
monkeyc7sp1s3173	25,70547	9,97644
monkeyc7sp1s3174	25,78202	9,97148
monkeyc7sp1s3175	25,858839	9,96797
monkeyc7sp1s3176	25,935897	9,96594
monkeyc7sp1s3177	26,013167	9,96538
